"","Time","Name","Instructor","Location"
"Friday, 14 February 2025","19:30 - 20:25","VIRTUAL BODYPUMP","VIRTUAL INSTRUCTOR","TUGGERANONG"
"Friday, 14 February 2025","20:00 - 21:00","REFORMER PILATES","VIRTUAL INSTRUCTOR","SOUTH MORANG (ONE HEALTH)"
"Friday, 14 February 2025","20:30 - 21:00","VIRTUAL CORE","VIRTUAL INSTRUCTOR","TUGGERANONG"
"Friday, 14 February 2025","21:00 - 22:00","REFORMER PILATES","VIRTUAL INSTRUCTOR","SOUTH MORANG (ONE HEALTH)"
"Friday, 14 February 2025","21:30 - 22:25","VIRTUAL BODYBALANCE","VIRTUAL INSTRUCTOR","TUGGERANONG"
"Friday, 14 February 2025","22:00 - 23:00","REFORMER PILATES","VIRTUAL INSTRUCTOR","SOUTH MORANG (ONE HEALTH)"
"Saturday, 15 February 2025","04:30 - 05:30","VIRTUAL BODYPUMP","VIRTUAL INSTRUCTOR","REDCLIFFE"
"Saturday, 15 February 2025","05:00 - 06:00","REFORMER PILATES","VIRTUAL INSTRUCTOR","SOUTH MORANG (ONE HEALTH)"
"Saturday, 15 February 2025","05:30 - 06:30","VIRTUAL BODYCOMBAT","VIRTUAL INSTRUCTOR","REDCLIFFE"
"Saturday, 15 February 2025","06:00 - 07:00","HYROX SHRED","HIIT REPUBLIC","HIIT REPUBLIC YAMANTO"
"Saturday, 15 February 2025","06:00 - 06:45","LIME CIRCUIT","YASMINE","SIPPY DOWNS"
"Saturday, 15 February 2025","06:00 - 07:00","REFORMER PILATES","VIRTUAL INSTRUCTOR","SOUTH MORANG (ONE HEALTH)"
"Saturday, 15 February 2025","06:00 - 06:45","VIRTUAL REFORMER","VIRTUAL INSTRUCTOR","BROADBEACH"
"Saturday, 15 February 2025","06:00 - 06:45","VIRTUAL BODYATTACK","VIRTUAL INSTRUCTOR","LAVINGTON"
"Saturday, 15 February 2025","06:00 - 06:45","HYROX SHRED","HIIT REPUBLIC","HIIT REPUBLIC REDCLIFFE"
"Saturday, 15 February 2025","06:30 - 07:30","SHRED","LAURA","HIIT REPUBLIC ERINDALE"
"Saturday, 15 February 2025","06:30 - 07:15","THROWDOWN","TBA","BROADBEACH"
"Saturday, 15 February 2025","06:45 - 07:15","LIME STRETCH","YASMINE","SIPPY DOWNS"
"Saturday, 15 February 2025","06:45 - 07:30","LIME CIRCUIT","KATE","CAMPBELLTOWN"
"Saturday, 15 February 2025","06:45 - 07:30","PILATES","CHRISTINE","CLEVELAND"
"Saturday, 15 February 2025","07:00 - 07:45","LIME CIRCUIT","JO","KIPPAX"
"Saturday, 15 February 2025","07:00 - 07:45","VIRTUAL SH'BAM","VIRTUAL INSTRUCTOR","TUGGERANONG"
"Saturday, 15 February 2025","07:00 - 08:00","SHRED","RICHIE","HIIT REPUBLIC KINGSTON"
"Saturday, 15 February 2025","07:00 - 08:00","VIRTUAL BODYPUMP","VIRTUAL INSTRUCTOR","LAVINGTON"
"Saturday, 15 February 2025","07:00 - 08:00","SHRED","ISABEL VERRI","HIIT REPUBLIC QUEANBEYAN"
"Saturday, 15 February 2025","07:00 - 08:00","SHRED","FIONA","HIIT REPUBLIC MITCHELL"
"Saturday, 15 February 2025","07:00 - 08:00","SHRED","RACHEL","HIIT REPUBLIC BRADDON"
"Saturday, 15 February 2025","07:00 - 07:45","LIME CIRCUIT","ANTHONY","IPSWICH"
"Saturday, 15 February 2025","07:00 - 08:00","SHRED","MARY","HIIT REPUBLIC WOLLONGONG"
"Saturday, 15 February 2025","07:00 - 08:00","SHRED","SARA","HIIT REPUBLIC GOULBURN"
"Saturday, 15 February 2025","07:00 - 08:00","SHRED","GRACE","HIIT REPUBLIC GUNGAHLIN"
"Saturday, 15 February 2025","07:00 - 08:00","SHRED","HIIT REPUBLIC","HIIT REPUBLIC WESTON"
"Saturday, 15 February 2025","07:00 - 08:00","SHRED","DIEGO","HIIT REPUBLIC CORRIMAL"
"Saturday, 15 February 2025","07:00 - 08:00","SHRED","JOEL","HIIT REPUBLIC WODEN"
"Saturday, 15 February 2025","07:00 - 08:00","SHRED","HIIT REPUBLIC","HIIT REPUBLIC YAMANTO"
"Saturday, 15 February 2025","07:00 - 08:00","SHRED","HIIT REPUBLIC","HIIT REPUBLIC REDCLIFFE"
"Saturday, 15 February 2025","07:00 - 07:45","LIME CONDITION","BEN","OAKLEIGH"
"Saturday, 15 February 2025","07:00 - 07:45","BODYPUMP","KATHRYN","REDCLIFFE"
"Saturday, 15 February 2025","07:00 - 08:00","REFORMER PILATES","VIRTUAL INSTRUCTOR","SOUTH MORANG (ONE HEALTH)"
"Saturday, 15 February 2025","07:00 - 08:00","LIME CIRCUIT","GEORGIA","PENRITH - MULGOA ROAD"
"Saturday, 15 February 2025","07:00 - 07:45","VIRTUAL REFORMER","VIRTUAL INSTRUCTOR","BROADBEACH"
"Saturday, 15 February 2025","07:00 - 07:45","LIME CIRCUIT","PARIS","WOLLONGONG"
"Saturday, 15 February 2025","07:00 - 07:55","WOD X","CLUB LIME ATHLETICA","PORT KENNEDY"
"Saturday, 15 February 2025","07:00 - 07:45","BODYPUMP","KIM","BUTLER"
"Saturday, 15 February 2025","07:00 - 07:45","REFORMER PILATES","MEGAN","BUTLER"
"Saturday, 15 February 2025","07:15 - 08:00","BODYBALANCE","NICKIE","MANDURAH"
"Saturday, 15 February 2025","07:15 - 07:45","S CONNECT - COUNTERSTRIKE","JENNIFER","CLARKSON"
"Saturday, 15 February 2025","07:30 - 08:15","LES MILLS SHAPES","TINA","KINGSTON"
"Saturday, 15 February 2025","07:30 - 08:30","GENTLE FLOW YOGA","FIONA","GUNGAHLIN PLATINUM"
"Saturday, 15 February 2025","07:30 - 08:15","REFORMER PILATES","LISA","TENERIFFE"
"Saturday, 15 February 2025","07:30 - 08:30","SHRED","ELISSA","HIIT REPUBLIC CISAC"
"Saturday, 15 February 2025","07:30 - 08:30","SHRED","AIDEN","HIIT REPUBLIC SHELLHARBOUR"
"Saturday, 15 February 2025","07:30 - 08:30","BODYPUMP","JAYNE B","MOONEE BEACH"
"Saturday, 15 February 2025","07:30 - 08:30","BODYPUMP","KAYE","TOORMINA"
"Saturday, 15 February 2025","07:30 - 08:20","REFORMER PILATES","DEE","FIVE DOCK"
"Saturday, 15 February 2025","07:30 - 08:00","CYCLE 30","HAYLEY","UPWEY"
"Saturday, 15 February 2025","07:30 - 08:30","SHRED","KARI","HIIT REPUBLIC COBURG"
"Saturday, 15 February 2025","07:30 - 08:15","LIME BOX","JESS/DANI","SCORESBY"
"Saturday, 15 February 2025","07:30 - 08:30","GENTLE FLOW YOGA","JADE","PENRITH - MULGOA ROAD"
"Saturday, 15 February 2025","07:30 - 08:30","WOD X","CLUB LIME ATHLETICA","MANDURAH"
"Saturday, 15 February 2025","07:30 - 08:25","GENTLE FLOW YOGA","GLORIA","KENNEDY PARK"
"Saturday, 15 February 2025","07:30 - 08:30","GENTLE FLOW YOGA","ECE","BLACKTOWN"
"Saturday, 15 February 2025","07:30 - 08:15","LIME CONDITION","MAYLINDA","FIVE DOCK"
"Saturday, 15 February 2025","07:45 - 08:15","LIME CIRCUIT","JANE","CAMPBELLTOWN"
"Saturday, 15 February 2025","08:00 - 08:45","FREESTYLE SPIN","SHERRY","BELCONNEN (CISAC PLATINUM)"
"Saturday, 15 February 2025","08:00 - 09:00","BODYATTACK","NATHAN","BELCONNEN (CISAC PLATINUM)"
"Saturday, 15 February 2025","08:00 - 09:00","SHRED","LAURA","HIIT REPUBLIC TUGGERANONG"
